timestamp,test-class,test-method,time,description,result
2021-08-23 16:58:39.653,acme.testing.anonymous.shout.AnonymousListTest,listAll,2096,"[1] recordIndex=0, moment=2021/08/22 19:30, author=Jhon Doe, text=I'm happy!, info=null",OK
2021-08-23 16:58:41.946,acme.testing.anonymous.shout.AnonymousListTest,listAll,1946,"[2] recordIndex=1, moment=2021/08/22 12:55, author=Francisco, text=I'm sad!, info=http://www.realmadrid.com",OK
2021-08-23 16:58:44.258,acme.testing.anonymous.shout.AnonymousListTest,listAll,1958,"[3] recordIndex=2, moment=2021/08/22 01:30, author=Javier, text=I love github!, info=http://github.com",OK
2021-08-23 16:58:45.781,acme.testing.anonymous.shout.AnonymousListTest,listAll,1210,"[4] recordIndex=3, moment=2021/08/22 12:55, author=Fernando, text=Good work as a team!, info=https://www.google.com",Expected value '2021/08/22 12:55' in attribute 0 of record 3, but found '2021/08/22 01:30'
2021-08-23 16:58:47.551,acme.testing.anonymous.shout.AnonymousListTest,listAll,1439,"[5] recordIndex=4, moment=2021/08/22 12:55, author=Manuel, text=We have a reunion today, info=https://discord.com",Expected value 'Manuel' in attribute 1 of record 4, but found 'Fernando'
2021-08-23 16:59:01.801,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3419,"[1] recordIndex=5, author=ATH-01, text=Text 1, info=http://www.example.com",Expected value 'ATH-01' in attribute 1 of record 5, but found 'Manuel'
2021-08-23 16:59:05.335,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3210,"[2] recordIndex=6, author=ATH-02, text=Text 2, info=http://www.example.com",Expected value 'ATH-02' in attribute 1 of record 6, but found 'ATH-01'
2021-08-23 16:59:09.326,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3615,"[3] recordIndex=7, author=ATH-03, text=Text 3, info=http://www.example.com",Expected value 'ATH-03' in attribute 1 of record 7, but found 'ATH-02'
2021-08-23 16:59:12.973,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3374,"[4] recordIndex=8, author=ATH-04, text=viagra esto debería aceptar el spam porque supera el umbral predefinido, info=http://www.example.com",Expected value 'ATH-04' in attribute 1 of record 8, but found 'ATH-03'
2021-08-23 16:59:16.692,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,3254,"[5] recordIndex=9, author=ATH-05, text=Text 5, info=null",Expected value 'ATH-05' in attribute 1 of record 9, but found 'ATH-04'
2021-08-23 16:59:19.122,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2032,"[1] recordIndex=0, author=null, text=Text 1, info=http://www.example.com",OK
2021-08-23 16:59:21.553,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2125,"[2] recordIndex=1, author=Alex, text=Text 2, info=http://www.example.com",OK
2021-08-23 16:59:23.874,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2035,"[3] recordIndex=2, author=Alejandro Manuel Perez Arjona, text=nigeria no debería de tragarselo porque son nueve palabras, info=http://www.example.com",OK
2021-08-23 16:59:26.282,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2078,"[4] recordIndex=3, author=ATH-02, text=null, info=http://www.example.com",OK
2021-08-23 16:59:28.795,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2220,"[5] recordIndex=4, author=ATH-03, text=Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres Texto superior a 150 carácteres…, info=http://www.example.com",OK
2021-08-23 16:59:31.608,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2464,"[6] recordIndex=5, author=ATH-04, text=viagra nigeria, info=http://www.example.com",OK
2021-08-23 16:59:34.818,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2660,"[7] recordIndex=6, author=ATH-05, text=Esto es un text bien redactado, info=hola",OK
